trial,service,fault_type,detected,mttd_s,healed,mttr_s,timestamp
1,weather_service,high_latency,True,58.53,True,0.01,2026-04-09T18:43:37.244678+00:00
1,weather_service,service_error,True,69.05,True,-0.88,2026-04-09T18:44:53.424911+00:00
1,weather_service,error_burst,True,8.83,True,0.72,2026-04-09T18:45:10.981458+00:00
1,weather_service,mixed,True,9.63,True,-0.77,2026-04-09T18:45:27.838814+00:00
1,weather_service,slow_degradation,True,20.32,True,0.02,2026-04-09T18:45:51.165991+00:00
1,weather_service,memory_pressure,True,8.7,True,0.02,2026-04-09T18:46:04.363676+00:00
1,nlu_service,high_latency,True,125.5,True,0.01,2026-04-09T18:48:13.097049+00:00
1,nlu_service,service_error,True,8.55,True,0.01,2026-04-09T18:48:25.947086+00:00
1,nlu_service,error_burst,True,118.02,True,0.02,2026-04-09T18:50:27.497836+00:00
1,nlu_service,mixed,True,9.6,True,0.01,2026-04-09T18:50:41.812731+00:00
1,nlu_service,slow_degradation,True,10.76,True,0.01,2026-04-09T18:50:55.944778+00:00
1,nlu_service,memory_pressure,True,7.45,True,0.01,2026-04-09T18:51:09.388013+00:00
1,responder_service,high_latency,True,10.72,True,0.02,2026-04-09T18:51:23.278635+00:00
1,responder_service,service_error,True,127.9,True,-0.61,2026-04-09T18:53:38.569131+00:00
1,responder_service,error_burst,True,8.88,True,0.02,2026-04-09T18:53:52.273289+00:00
1,responder_service,mixed,True,10.79,True,0.01,2026-04-09T18:54:06.047458+00:00
1,responder_service,slow_degradation,True,9.73,True,0.01,2026-04-09T18:54:20.451037+00:00
1,responder_service,memory_pressure,True,11.56,True,0.01,2026-04-09T18:54:34.815950+00:00
2,weather_service,high_latency,True,7.87,True,0.01,2026-04-09T18:56:29.558664+00:00
2,weather_service,service_error,True,52.55,True,0.02,2026-04-09T18:57:25.687582+00:00
2,weather_service,error_burst,True,8.02,True,0.01,2026-04-09T18:57:38.334095+00:00
2,weather_service,mixed,True,11.55,True,0.01,2026-04-09T18:57:53.180935+00:00
2,weather_service,slow_degradation,True,9.79,True,0.01,2026-04-09T18:58:07.482996+00:00
2,weather_service,memory_pressure,True,7.47,True,0.02,2026-04-09T18:58:20.460899+00:00
2,nlu_service,high_latency,True,126.94,True,0.01,2026-04-09T19:00:32.353195+00:00
2,nlu_service,service_error,False,,False,,2026-04-09T19:02:49.297904+00:00
2,nlu_service,error_burst,True,11.23,True,0.01,2026-04-09T19:03:01.164823+00:00
2,nlu_service,mixed,True,9.26,True,0.01,2026-04-09T19:03:15.174228+00:00
